,high constitutive AMPs,, other AMPs,,
SF-1[T04014],5,0,36,4,0.304856698
CP2[T00152],5,0,40,0,0.18699187
POU2F1[T00641],5,0,37,3,0.268564234
POU2F2[T00647],5,0,37,3,0.268564234
POU2F2[T00648],5,0,37,3,0.268564234
POU2F2(Oct-2.1)[T01864],5,0,37,3,0.268564234
POU2F2(Oct-2.3)[T01865],5,0,37,3,0.268564234
POU2F2(Oct-2.4)[T01866],5,0,37,3,0.268564234
POU2F2(Oct-2.6)[T01867],5,0,37,3,0.268564234
POU2F2(Oct-2.1)[T01870],5,0,37,3,0.268564234
c-Myb[T00138],4,1,34,6,0.442145905
MEF-2DAB[T02505],5,0,32,8,0.524112348
PURalpha[T05167],2,3,19,21,0.5375
PURbeta[T05172],2,3,19,21,0.5375
PU.1[T00702],4,1,21,19,0.903
CREMalpha[T01803],3,2,19,21,0.586363636
SF-1[T02769],3,2,25,15,0.512773379
Yi[T00913],3,2,23,17,0.513852901
ATF[T00051],3,2,19,21,0.586363636
CREB[T00164],4,1,22,18,0.804291498
CREB[T00163],3,2,19,21,0.586363636
ATF3[T01313],4,1,30,10,0.4478394
47-kDaCREbind.prot.[T00442],3,2,19,21,0.586363636
ATF-2[T00167],3,2,19,21,0.586363636
C/EBPgamma[T00216],5,0,38,2,0.237335835
FXR:RXR-alpha[T05318],1,4,16,24,0.656349925
PEBP2[T00683],1,4,29,11,5.578974359
E74A[T00208],5,0,33,7,0.455150197
NERF-1a[T05021],0,5,16,24,1.923784262
SF-1[T01147],2,3,24,16,0.72543939
GATA-2[T00308],5,0,36,4,0.304856698
AP-4[T00036],2,3,24,16,0.72543939
NF-muNR[T01083],4,1,37,3,0.563984892
Ik-1[T02702],1,4,4,36,0.499964985
CAC-bindingprotein[T00076],5,0,30,10,0.703747628
SRF[T05114],5,0,31,9,0.606004902
SXR:RXR-alpha[T05670],5,0,35,5,0.347197906
NF-AT2[T01947],2,3,15,25,0.512773379
IRF-2[T01491],2,3,23,17,0.668008772
IRF-2[T00425],5,0,36,4,0.304856698
PXR-1:RXR-alpha[T05671],5,0,26,14,1.344580398
HNF-4alpha[T03828],4,1,22,18,0.804291498
USF-1[T00877],2,3,23,17,0.668008772
TFE3-S[T00814],2,3,16,24,0.510494386
DTF-1[T00201],4,1,26,14,0.555759898
INSAF[T00406],2,3,15,25,0.512773379
Sp1[T00755],4,1,13,27,3.428256303
Crx[T03458],5,0,37,3,0.268564234
Sn[T00751],2,3,7,33,0.88880719
Mitf[T01554],0,5,7,33,0.455150197
AP-1[T00031],2,3,23,17,0.668008772
PPAR-gamma:RXR-alpha[T05236],3,2,25,15,0.512773379
CBF(2)[T00084],3,2,23,17,0.513852901
CTF[T00174],3,2,19,21,0.586363636
Sp1[T00754],4,1,19,21,1.172727273
Sp1[T00759],4,1,19,21,1.172727273
XPF-1[T00906],3,2,27,13,0.53591133
Cdx-3[T02003],2,3,26,14,0.88880719
Kr[T00456],3,2,23,17,0.513852901
EBF[T05427],1,4,8,32,0.430936819
ARP-1[T00045],4,1,32,8,0.430936819
ER-alpha[T00261],4,1,32,8,0.430936819
T3R-alpha[T00841],1,4,7,33,0.432392687
IA-1[T05887],1,4,4,36,0.499964985
Pax-3[T00680],0,5,6,34,0.396797607
E2F-4[T01546],0,5,12,28,0.96259733
HNF-6alpha[T03257],3,2,31,9,0.69415107
Sry-beta[T00769],0,5,1,39,0.210365854
RAR-alpha1[T00719],4,1,32,8,0.430936819
RAR-beta[T00721],4,1,32,8,0.430936819
T3R-alpha[T01351],3,2,26,14,0.521024904
ER-beta[T04651],3,2,26,14,0.521024904
T3R-beta1[T00853],4,1,32,8,0.430936819
Elk-1[T05013],2,3,22,18,0.622368421
c-Ets-1[T00111],2,3,22,18,0.622368421
AP-2[T00034],2,3,20,20,0.558441558
E2F[T04056],2,3,13,27,0.53591133
HNF-4alpha2[T02422],4,1,29,11,0.465255376
HNF-4alpha1[T02429],4,1,29,11,0.465255376
Pax-2.2[T03219],1,4,10,30,0.4478394
Pax-9a[T03593],1,4,10,30,0.4478394
Pax-9b[T03594],1,4,10,30,0.4478394
HNF-6beta[T03258],4,1,32,8,0.430936819
OC-2[T03259],3,2,32,8,0.775686275
FOXF1[T02461],3,2,20,20,0.558441558
MAZ[T00490],1,4,9,31,0.436323529
TSAP[T00855],3,2,22,18,0.522789474
core-bindingfactor[T01530],1,4,4,36,0.499964985
Myf-5[T00521],3,2,10,30,1.61049938
Fra-1[T01462],0,5,7,33,0.455150197
Sp1[T00753],1,4,4,36,0.499964985
Sp1[T00752],1,4,4,36,0.499964985
Egr-1[T01200],1,4,3,37,0.563984892
Sp3[T02453],0,5,2,38,0.237335835
HIF-1[T01609],4,1,10,30,7.362282878
Pbx1b[T02088],1,4,8,32,0.430936819
LyF-1[T00479],2,3,19,21,0.5375
ELF-1[T01113],0,5,11,29,0.821038899
IPF1[T02058],1,4,12,28,0.48870326
RAR-beta:RXR-alpha[T05420],1,4,8,32,0.430936819
CACCC-bindingfactor[T00077],1,4,10,30,0.4478394
YY1[T00278],1,4,7,33,0.432392687
HNF-1[T00369],5,0,23,17,2.32457265
JunD[T01978],0,5,10,30,0.703747628
HNF-1A[T01211],5,0,34,6,0.396797607
COE2[T05006],1,4,8,32,0.430936819
COE3[T05008],1,4,8,32,0.430936819
E2F[T00221],0,5,9,31,0.606004902
PPAR-alpha:RXR-alpha[T05221],2,3,7,33,0.88880719
FOXM1b[T02516],2,3,23,17,0.668008772
FOXM1a[T02517],2,3,23,17,0.668008772
FOXJ1[T02460],2,3,18,22,0.522789474
HNF-3beta[T03256],4,1,31,9,0.436323529
RXR-beta[T01332],3,2,19,21,0.586363636
Pax-2.1[T03031],1,4,7,33,0.432392687
NF-E2[T00557],0,5,10,30,0.703747628
En[T00253],5,0,30,10,0.703747628
COUP-TF1[T00149],3,2,20,20,0.558441558
ER-alpha[T00264],3,2,20,20,0.558441558
USF2[T02115],1,4,8,32,0.430936819
AP-2beta[T02469],0,5,3,37,0.268564234
Pbx1a[T01481],2,3,19,21,0.5375
HOXB1[T01719],2,3,19,21,0.5375
GR[T05076],1,4,15,25,0.601182582
AR[T00042],2,3,24,16,0.72543939
Sp3[T02419],4,1,4,36,88.20810811
ATF-1[T00968],2,3,12,28,0.558518011
MTF-1[T00515],1,4,6,34,0.442145905
Bcd[T00063],4,1,18,22,1.357894737
ER-alpha[T00262],1,4,1,39,0.925609756
Sry-delta[T00767],0,5,2,38,0.237335835
ETF[T00270],2,3,3,37,2.312338057
WT1[T00899],1,4,2,38,0.680362727
GCF[T00320],1,4,5,35,0.462930542
Sp1[T01228],1,4,8,32,0.430936819
CRE-BP2[T01017],2,3,14,26,0.521024904
CREBbeta[T02361],2,3,14,26,0.521024904
NF-TNF[T00606],0,5,4,36,0.304856698
AFP1[T00015],2,3,6,34,1.050096525
NF-X[T01232],0,5,2,38,0.237335835
c-Myc[T00140],4,1,1,39,1142.295
NRF-1[T01197],0,5,1,39,0.210365854
Pax-6[T00681],0,5,1,39,0.210365854
