,high constitutive Lysozymes,, other Lysozymes,,
POU5F1(Oct-5),2,0,29,4,0.451612903
POU5F1,2,0,29,4,0.451612903
POU2F1b,2,0,29,4,0.451612903
POU2F1c,2,0,29,4,0.451612903
RXR-alpha,2,0,33,0,0.352941176
HNF-4alpha,1,1,26,7,0.972222222
GR-beta,2,0,33,0,0.352941176
ARP-1,2,0,27,6,0.517241379
SF-1,2,0,31,2,0.397727273
c-Fos,2,0,33,0,0.352941176
Fra-1,2,0,33,0,0.352941176
FXR:RXR-alpha,1,1,14,19,0.7
ER-alpha,2,0,28,5,0.482758621
p53,2,0,33,0,0.352941176
Nkx2-1,2,0,33,0,0.352941176
RXR-beta,2,0,26,7,0.555555556
FOXM1b,1,1,18,15,0.690789474
FOXM1a,1,1,18,15,0.690789474
FOXJ1,1,1,9,24,0.84
Zen-1,2,0,30,3,0.423387097
Zen-2,2,0,30,3,0.423387097
C/EBPgamma,2,0,32,1,0.374331551
NHP-1,2,0,33,0,0.352941176
PEA3,2,0,33,0,0.352941176
GATA-3,2,0,32,1,0.374331551
Gt,2,0,31,2,0.397727273
En,1,1,24,9,0.84
SXR:RXR-alpha,2,0,30,3,0.423387097
Pax-5,2,0,33,0,0.352941176
NF-AT2,2,0,32,1,0.374331551
NF-AT1,2,0,32,1,0.374331551
HMGI(Y),2,0,30,3,0.423387097
STAT1beta,2,0,32,1,0.374331551
c-Jun,2,0,33,0,0.352941176
NF-AT3,2,0,33,0,0.352941176
IRF-2,2,0,32,1,0.374331551
HNF-6beta,0,2,28,5,10
Prd,2,0,33,0,0.352941176
SRF,2,0,31,2,0.397727273
Mad,2,0,33,0,0.352941176
Bcd,0,2,15,18,1.105263158
Hb,2,0,32,1,0.374331551
GATA-2,2,0,33,0,0.352941176
GATA-1,2,0,33,0,0.352941176
T3R-beta,2,0,33,0,0.352941176
VDR,2,0,33,0,0.352941176
TCF-1(P),2,0,28,5,0.482758621
c-Myb,2,0,33,0,0.352941176
HNF-1,2,0,23,10,0.7
Pax-3,0,2,8,25,0.598290598
LEF-1,2,0,32,1,0.374331551
TCF-4E,2,0,32,1,0.374331551
WT1I,2,0,33,0,0.352941176
USF-1,2,0,33,0,0.352941176
Elk-1,2,0,33,0,0.352941176
PU.1,2,0,32,1,0.374331551
AR,2,0,33,0,0.352941176
WT1I-KTS,2,0,33,0,0.352941176
WT1-KTS,2,0,33,0,0.352941176
YY1,2,0,33,0,0.352941176
Pbx1b,0,2,16,17,1.228070175
Sp1,2,0,23,10,0.7
GCM,2,0,30,3,0.423387097
GCMa,2,0,30,3,0.423387097
GCMb,2,0,30,3,0.423387097
PURalpha,1,1,22,11,0.760869565
PURbeta,1,1,22,11,0.760869565
LyF-1,0,2,21,12,2.307692308
NF-E4,1,1,21,12,0.734265734
ENKTF-1,2,0,33,0,0.352941176
PPAR-gamma:RXR-alpha,1,1,22,11,0.760869565
PXR-1:RXR-alpha,1,1,24,9,0.84
HNF-4alpha2,2,0,19,14,1
JunD,2,0,33,0,0.352941176
JunB,2,0,33,0,0.352941176
CREB,2,0,25,8,0.598290598
AP-2beta,2,0,3,30,21
E2F-1,2,0,27,6,0.517241379
f(alpha)-f(epsilon),2,0,32,1,0.374331551
Pax-2.2,1,1,11,22,0.760869565
Pax-9a,1,1,11,22,0.760869565
Pax-9b,1,1,11,22,0.760869565
MyoD,2,0,32,1,0.374331551
E2F,2,0,27,6,0.517241379
NF-1/L,2,0,30,3,0.423387097
LF-A1,2,0,33,0,0.352941176
2-Dec,2,0,28,5,0.482758621
CBF(2),1,1,13,20,0.714285714
NF-Y,2,0,31,2,0.397727273
Dl,2,0,33,0,0.352941176
AML1,2,0,31,2,0.397727273
E74A,2,0,28,5,0.482758621
DSXF,2,0,33,0,0.352941176
DSXM,2,0,33,0,0.352941176
SREBP-1c,2,0,32,1,0.374331551
DTF-1,2,0,17,16,1.228070175
TCF-4,2,0,22,11,0.760869565
Pax-1,2,0,32,1,0.374331551
Pax-2a,2,0,32,1,0.374331551
Tal-1,2,0,20,13,0.909090909
Nrf2,1,1,29,4,1.4
NF-muNR,2,0,31,2,0.397727273
IPF1,2,0,30,3,0.423387097
STAT5A,2,0,30,3,0.423387097
STAT5B,2,0,26,7,0.555555556
HNF-6,2,0,30,3,0.423387097
TSAP,2,0,19,14,1
PTF1-beta,0,2,22,11,2.692307692
IRF-1,2,0,32,1,0.374331551
GAGAfactor,2,0,11,22,2.692307692
Antp,2,0,30,3,0.423387097
RAR-beta:RXR-alpha,2,0,14,19,1.75
HES-1,2,0,27,6,0.517241379
USF2,1,1,22,11,0.760869565
E47,0,2,17,16,1.37254902
Smad3,0,2,21,12,2.307692308
Smad4,0,2,22,11,2.692307692
MEF-2DAB,2,0,25,8,0.598290598
mec-3,2,0,32,1,0.374331551
POU1F1,2,0,24,9,0.646153846
TCF-3,2,0,32,1,0.374331551
CDX2,2,0,33,0,0.352941176
Pbx1a,2,0,18,15,1.105263158
HOXB1,2,0,18,15,1.105263158
AhR,2,0,12,21,2.307692308
AP-3(2),2,0,25,8,0.598290598
TCF-2,2,0,25,8,0.598290598
Myf-5,1,1,14,19,0.7
CAC-bindingprotein,2,0,29,4,0.451612903
AREB6,2,0,27,6,0.517241379
NF-1(-likeproteins),2,0,31,2,0.397727273
Adf-1,2,0,24,9,0.646153846
E12,0,2,4,29,0.451612903
MEF-2C/delta8,2,0,30,3,0.423387097
AhR:Arnt,1,1,10,23,0.795454545
C/EBP,2,0,32,1,0.374331551
AP-1,2,0,31,2,0.397727273
BTEB3,2,0,30,3,0.423387097
COE2,1,1,6,27,1.071428571
COE3,1,1,6,27,1.071428571
AP-4,2,0,13,20,2
TFE3-S,0,2,13,20,0.909090909
ATF3,1,1,24,9,0.84
HNF-6alpha,2,0,29,4,0.451612903
CTF,1,1,21,12,0.734265734
RAR-alpha1,2,0,27,6,0.517241379
RAR-beta,2,0,27,6,0.517241379
T3R-beta1,2,0,27,6,0.517241379
Egr-3,0,2,9,24,0.646153846
CACCC-bindingfactor,1,1,9,24,0.84
MAZ,0,2,11,22,0.760869565
XPF-1,2,0,26,7,0.555555556
EBF,2,0,13,20,2
PEBP2,2,0,21,12,0.830039526
Yi,2,0,18,15,1.105263158
Zeste,2,0,25,8,0.598290598
RAR-gamma,2,0,26,7,0.555555556
COUP-TF1,1,1,16,17,0.68627451
CREMalpha,2,0,15,18,1.544117647
T3R-alpha,1,1,21,12,0.734265734
ER-beta,1,1,23,10,0.795454545
POU2F2,2,0,29,4,0.451612903
POU2F2(Oct-2.3),2,0,29,4,0.451612903
POU2F2(Oct-2.4),2,0,29,4,0.451612903
POU2F2(Oct-2.6),2,0,29,4,0.451612903
Kr,1,1,20,13,0.714285714
CArGbox-bindingprotein,1,1,17,16,0.68627451
NERF-1a,0,2,12,21,0.830039526
Ik-1,0,2,8,25,0.598290598
SRF(504AA),1,1,18,15,0.690789474
POU3F1,2,0,19,14,1
FOXF1,0,2,19,14,1.75
Pax-2.1,2,0,9,24,3.818181818
AFP1,0,2,4,29,0.451612903
Fli-1,0,2,11,22,0.760869565
ELF-1,2,0,18,15,1.105263158
NF-kappaB1,1,1,13,20,0.714285714
Sp3,2,0,22,11,0.760869565
BTEB4,2,0,20,13,0.909090909
INSAF,2,0,11,22,2.692307692
MTF-1,0,2,5,28,0.482758621
RFX1,2,0,13,20,2
OC-2,1,1,22,11,0.760869565
PPAR-alpha:RXR-alpha,2,0,13,20,2
CRE-BP2,2,0,9,24,3.818181818
CREBbeta,2,0,9,24,3.818181818
Ttk69K,2,0,18,15,1.105263158
Clock:Bmal1,0,2,14,19,1
ETF,2,0,3,30,21
WT1,2,0,2,31,35
USF1,2,0,18,15,1.105263158
NF-TNF,0,2,2,31,0.397727273
core-bindingfactor,0,2,6,27,0.517241379
IA-1,0,2,5,28,0.482758621
NF-E2,0,2,7,26,0.555555556
Sn,0,2,7,26,0.555555556
MBP-1(1),2,0,7,26,5.833333333
Sry-delta,0,2,3,30,0.423387097
E2F-4,0,2,2,31,0.397727273
c-Myc,0,2,1,32,0.374331551
Mitf,0,2,3,30,0.423387097
ATF,0,2,10,23,0.7
47-kDaCREbind.prot.,0,2,10,23,0.7
ATF-2,0,2,10,23,0.7
ATF-1,0,2,8,25,0.598290598
Egr-1,0,2,1,32,0.374331551
GCF,0,2,1,32,0.374331551
Sry-beta,0,2,1,32,0.374331551
HIF-1,0,2,1,32,0.374331551
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
